,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Drive_Duration,-0.022382417918337942,-0.2528927706600906,0.8830927262056163,0.37679163526280623,-0.11675430088956819,-0.006800690611029045,0.00027955273923807475,-0.006186257536225996,0.001828705245062447,0.00025723684475048884
HRV_MeanNN,0.2526457279487345,0.4831632226747262,0.031882008454069105,0.17404219482373157,-0.33925828283614434,0.12625494033026857,-0.072976688869713,0.7146751248966177,-0.12229401027736944,0.09663249824394825
HRV_SDNN,0.41564276508430303,-0.0996597012052783,0.017041905453013467,-0.11717738109437996,-0.08741694310545106,-0.41961855059913666,-0.28900680225574954,0.10917582905406453,0.5562062109431553,-0.4634187934976766
HRV_RMSSD,0.41277543679743567,-0.09892622471347715,0.06922876533174652,-0.14895341036677656,0.16243465139617205,0.4629211560057254,-0.07736048113410084,-0.05660502289379078,0.46336734990642403,0.5729495738388254
HRV_SDSD,0.4119877658777892,-0.10120924471406963,0.07343013921064254,-0.14966514289966068,0.17712006037236497,0.5334208403825906,-0.12919691445883652,-0.06839840594667163,-0.4217773053179695,-0.5263606563412279
HRV_CVNN,0.4135385545360609,-0.12178155020833178,-0.0036557290708529883,-0.09298151176505366,-0.11473702452291311,-0.44964340486594734,-0.3513367149716099,-0.1947670466178131,-0.5157022205824939,0.40352440529803113
HRV_pNN50,0.22813329741575858,-0.16003338280510887,-0.338044774719335,0.8144008825112943,0.375374301036343,-0.04807998235978699,0.019317061396277136,0.034421087789877354,0.004756021744892213,-0.00482880702052572
HRV_MinNN,-0.0588888824805681,0.5662620720070014,0.28989153692577624,-0.08579979721590078,0.7113822429767672,-0.19067479528994882,-0.20441897670997353,-0.006602408388210079,-0.00754793281270973,0.013092082955222656
HRV_MaxNN,0.41515422064534757,0.07442914353867697,0.10155239323459304,-0.13806130476134876,0.09687919399969178,-0.23885896882865615,0.8502167627688383,-0.001924790601908602,-0.05803589215703575,-0.007339258682418019
raw_hr,-0.15463799667984005,-0.5531753071330118,0.004256148657895781,-0.26665179143918505,0.36926043996191993,-0.10582325934516458,0.002570671993071809,0.655921530002603,-0.11693395328266197,0.08659001580408354
